NUMOFBODIES,ID,TIMESTAMP,FRAME_NUM,NOSE_X,NOSE_Y,LEFT_EYE_X,LEFT_EYE_Y,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_KNEE_X,LEFT_KNEE_Y,RIGHT_KNEE_X,RIGHT_KNEE_Y,LEFT_ANKLE_X,LEFT_ANKLE_Y,RIGHT_ANKLE_X,RIGHT_ANKLE_Y,HEAD_X,HEAD_Y
1,,,,,,,,,,,,,,1070,352,932,357,1093,442,926,453,1048,361,958,372,1046,559,971,561,1047,726,959,725,1070,882,958,877,998.6,277.6
1,,,,,,,,,,,,,,1070,351,932,355,1090,443,926,452,1046,360,958,370,1047,558,972,561,1049,725,959,724,1071,881,959,878,997.8,276.2
1,,,,,,,,,,,,,,1069,354,932,355,1091,436,925,447,1046,356,957,367,1046,558,971,560,1048,726,959,724,1071,881,958,878,998.8,276.6
1,,,,,,,,,,,,,,1069,352,932,355,1088,439,926,448,1047,358,958,368,1047,558,971,561,1048,726,959,724,1070,881,958,876,997.6,277.6
1,,,,,,,,,,,,,,1070,352,932,358,1087,444,927,452,1046,366,958,368,1048,559,972,562,1049,726,957,725,1072,882,957,877,996,277.4
1,,,,,,,,,,,,,,1071,356,931,358,1090,451,926,454,1040,374,955,373,1048,558,972,560,1047,725,958,724,1071,881,958,878,995.6,278.4
1,,,,,,,,,,,,,,1072,356,931,358,1092,451,926,454,1042,374,957,373,1048,558,972,561,1046,725,958,724,1072,881,958,877,995.8,277.8
1,,,,,,,,,,,,,,1071,355,931,358,1092,451,925,452,1043,374,958,372,1048,558,973,561,1048,725,958,724,1072,882,958,878,995.4,277.8
1,,,,,,,,,,,,,,1071,356,931,357,1091,450,925,450,1039,371,959,365,1048,557,973,561,1047,726,958,724,1073,882,957,878,996,277.6
1,,,,,,,,,,,,,,1070,355,931,355,1093,450,923,448,1040,371,959,364,1048,556,972,560,1047,725,958,723,1070,882,957,877,996.2,277.4
1,,,,,,,,,,,,,,1071,355,931,355,1091,451,924,449,1042,370,960,367,1048,557,972,560,1047,724,957,722,1072,881,956,876,996.2,277.4
1,,,,,,,,,,,,,,1074,354,932,356,1083,457,925,450,1040,371,961,368,1047,557,971,560,1046,724,960,722,1073,881,958,877,996.4,277
1,,,,,,,,,,,,,,1071,355,932,355,1081,456,926,448,1039,366,963,365,1048,557,972,560,1046,724,960,721,1072,881,958,876,996.4,277.2
1,,,,,,,,,,,,,,1075,354,932,356,1081,457,927,449,1035,370,963,366,1049,557,972,560,1047,724,960,721,1072,881,958,877,996,277.6
1,,,,,,,,,,,,,,1075,354,933,357,1079,457,927,450,1035,370,962,366,1049,557,973,561,1047,723,959,721,1073,881,957,876,995,277.2
1,,,,,,,,,,,,,,1075,354,932,357,1077,455,928,450,1035,366,964,362,1049,558,973,561,1048,724,960,721,1073,881,958,875,996.2,276.8
1,,,,,,,,,,,,,,1075,354,933,356,1075,456,928,452,1031,366,963,362,1048,558,972,561,1047,725,959,722,1073,882,958,877,996.8,277.2
1,,,,,,,,,,,,,,1073,357,931,356,1093,467,926,450,1040,378,968,372,1046,560,970,561,1045,725,959,722,1072,881,958,876,997,277.4
1,,,,,,,,,,,,,,1073,359,931,357,1097,467,927,451,1038,379,967,373,1045,563,968,563,1044,727,961,723,1071,881,959,876,996.6,277.2
1,,,,,,,,,,,,,,1073,359,931,357,1097,467,927,451,1038,379,967,373,1045,563,968,563,1044,727,961,723,1071,881,959,876,996.6,277.2
1,,,,,,,,,,,,,,1074,357,935,356,1109,472,913,444,1048,401,965,385,1045,562,967,561,1045,724,958,721,1071,880,959,876,995.8,276.8
1,,,,,,,,,,,,,,1077,358,935,357,1103,479,918,442,1050,426,965,406,1046,564,967,563,1044,725,958,721,1068,882,958,877,996,276.4
1,,,,,,,,,,,,,,1076,363,934,360,1106,476,915,444,1056,476,983,462,1044,564,965,561,1043,726,959,721,1068,882,958,877,994,277
1,,,,,,,,,,,,,,1076,364,933,362,1108,473,918,450,1067,486,984,474,1045,561,966,559,1043,726,960,720,1069,881,958,876,993.2,276.6
1,,,,,,,,,,,,,,1076,365,933,362,1106,472,921,450,1074,491,980,472,1044,561,966,559,1042,726,960,721,1068,881,958,877,993.6,275.4
1,,,,,,,,,,,,,,1077,365,933,360,1107,473,919,449,1074,495,977,473,1046,565,966,559,1044,727,960,721,1068,882,958,877,993.8,274.6
1,,,,,,,,,,,,,,1077,365,934,360,1107,475,920,452,1072,503,950,453,1044,565,966,563,1044,729,960,723,1069,882,959,879,994.4,274.2
1,,,,,,,,,,,,,,1076,364,932,357,1105,473,921,448,1074,509,946,443,1044,566,966,564,1044,729,959,724,1068,882,959,879,994.8,273.8
1,,,,,,,,,,,,,,1076,364,932,356,1099,475,921,449,1090,544,942,388,1041,562,964,565,1043,729,960,723,1069,881,957,878,991.8,273.2
1,,,,,,,,,,,,,,1076,363,934,356,1097,475,922,447,1091,552,943,385,1041,565,965,563,1042,729,958,724,1067,881,957,878,991.2,272
1,,,,,,,,,,,,,,1077,360,930,356,1097,471,922,448,1100,557,939,378,1042,564,967,563,1042,729,959,723,1067,881,958,877,990,271.4
1,,,,,,,,,,,,,,1077,360,929,359,1096,472,925,449,1105,561,934,365,1046,563,970,564,1045,729,960,723,1069,879,959,876,991,271
1,,,,,,,,,,,,,,1078,361,930,361,1097,477,919,451,1105,562,921,395,1045,563,969,564,1045,729,960,724,1068,880,959,877,992,271
1,,,,,,,,,,,,,,1075,362,933,359,1096,475,919,451,1107,565,922,383,1045,564,970,564,1047,729,959,723,1069,880,959,876,993,271.2
1,,,,,,,,,,,,,,1081,365,933,357,1105,478,899,449,1118,573,909,380,1048,568,970,569,1050,731,962,726,1069,881,958,878,996.2,269.8
1,,,,,,,,,,,,,,1081,365,938,355,1105,477,888,438,1118,574,890,342,1049,569,972,570,1051,733,962,727,1069,880,958,877,997.8,268.8
1,,,,,,,,,,,,,,1082,365,940,355,1105,479,885,437,1118,575,887,329,1050,570,975,566,1052,734,961,729,1071,880,957,877,998.8,268.6
1,,,,,,,,,,,,,,1083,366,939,357,1105,479,885,439,1118,574,885,333,1050,570,975,567,1052,734,961,730,1071,881,956,877,999.4,269.8
1,,,,,,,,,,,,,,1083,366,939,357,1103,480,885,437,1118,576,882,323,1051,571,975,569,1053,735,962,730,1071,881,956,878,999.4,269.6
1,,,,,,,,,,,,,,1083,366,940,357,1102,481,884,433,1119,579,880,320,1051,571,976,568,1053,734,962,729,1069,881,957,878,1000,270.6
